Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0678,02/01/2026,02/02/2026,WWW.BRAVE.COM,Office & Shipping,Sale,-1.31,
0678,02/01/2026,02/02/2026,FACEBK *KSC54DZ7Z2,Professional Services,Sale,-516.00,
0678,02/02/2026,02/02/2026,FACEBK *7NYN5DD8Z2,Professional Services,Sale,-516.00,
0678,01/30/2026,02/01/2026,FACEBK *UXAK5FV8Z2,Professional Services,Sale,-399.00,
0678,01/31/2026,02/01/2026,FACEBK *7EUBWDH8Z2,Professional Services,Sale,-406.31,
0678,02/01/2026,02/01/2026,NAME-CHEAP.COM* 8WDDGE,Professional Services,Sale,-11.48,
0678,01/29/2026,01/30/2026,FACEBK *5U3WUCD8Z2,Professional Services,Sale,-399.00,
0678,01/28/2026,01/29/2026,FACEBK *6FL4YEV8Z2,Professional Services,Sale,-399.00,
0678,01/27/2026,01/28/2026,WI DFI WS2 CFI CC EPAY,Bills & Utilities,Sale,-10.00,
0678,01/27/2026,01/28/2026,WI DFI WS2 CFI CC EPAY,Bills & Utilities,Sale,-10.00,
0678,01/27/2026,01/28/2026,HOSTMYAPPL* HOSTMYAPPL,Professional Services,Sale,-35.79,
0678,01/24/2026,01/25/2026,FACEBK *HCFQADH8Z2,Professional Services,Sale,-67.50,
0678,01/24/2026,01/25/2026,FACEBK *BCD5HCM8Z2,Professional Services,Sale,-399.00,
0678,01/23/2026,01/25/2026,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,01/23/2026,01/23/2026,Payment Thank You-Mobile,,Payment,4200.00,
0678,01/22/2026,01/23/2026,Payment Thank You-Mobile,,Payment,1000.00,
0678,01/21/2026,01/21/2026,STATEMENT CREDIT,Fees & Adjustments,Adjustment,138.10,
0678,01/07/2026,01/07/2026,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-71.37,
0678,01/02/2026,01/04/2026,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,01/01/2026,01/01/2026,AUTOMATIC PAYMENT - THANK,,Payment,61.00,
0678,12/09/2025,12/09/2025,Payment Thank You-Mobile,,Payment,60.00,
0678,12/07/2025,12/07/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-70.82,
0678,12/04/2025,12/04/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,12/02/2025,12/03/2025,GOOGLE *Workspace_kuri,Professional Services,Sale,-33.60,
0678,12/01/2025,12/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,118.00,
0678,11/07/2025,11/09/2025,GOOGLE *Google One,Entertainment,Sale,-19.99,
0678,11/07/2025,11/07/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-68.19,
0678,11/06/2025,11/07/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.00,
0678,11/05/2025,11/06/2025,IDEOGRAM AI,Office & Shipping,Sale,-20.00,
0678,11/01/2025,11/02/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,11/01/2025,11/02/2025,GOOGLE *GSUITE_kuriosb,Office & Shipping,Sale,-33.60,
0678,10/31/2025,10/31/2025,AUTOMATIC PAYMENT - THANK,,Payment,102.00,
0678,10/29/2025,10/29/2025,P.SKOOL.COM/ZJSTJ,Professional Services,Sale,-99.00,
0678,10/23/2025,10/24/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,10/21/2025,10/22/2025,NAME-CHEAP.COM* PH1FHU,Professional Services,Sale,-56.04,
0678,10/21/2025,10/22/2025,NAME-CHEAP.COM* FNMI4S,Professional Services,Sale,-12.48,
0678,10/21/2025,10/22/2025,IDEOGRAM AI,Office & Shipping,Sale,-5.89,
0678,10/20/2025,10/21/2025,Regus Management Group BC,Professional Services,Sale,-99.00,
0678,10/15/2025,10/16/2025,LOCALRANK.SO,Office & Shipping,Sale,-174.30,
0678,10/07/2025,10/08/2025,GOOGLE *Google One,Merchandise & Inventory,Sale,-19.99,
0678,10/07/2025,10/07/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-58.86,
0678,10/06/2025,10/07/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.00,
0678,10/05/2025,10/06/2025,IDEOGRAM AI,Office & Shipping,Sale,-8.00,
0678,10/01/2025,10/02/2025,GOOGLE *GSUITE_kuriosb,Bills & Utilities,Sale,-33.60,
0678,10/01/2025,10/02/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,10/01/2025,10/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,91.00,
0678,09/23/2025,09/24/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,09/20/2025,09/21/2025,Regus Management Group BC,Professional Services,Sale,-99.00,
0678,09/18/2025,09/19/2025,Spectrum,Bills & Utilities,Sale,-70.00,
0678,09/15/2025,09/16/2025,LOCALRANK.SO,Office & Shipping,Sale,-174.30,
0678,09/07/2025,09/08/2025,GOOGLE *Google One,Office & Shipping,Sale,-19.99,
0678,09/07/2025,09/07/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-53.25,
0678,09/06/2025,09/07/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.00,
0678,09/05/2025,09/07/2025,CANVA* I04630-53495476,Professional Services,Sale,-15.00,
0678,09/05/2025,09/07/2025,IDEOGRAM AI,Office & Shipping,Sale,-8.00,
0678,09/01/2025,09/02/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,09/01/2025,09/02/2025,GOOGLE *GSUITE_kuriosb,Office & Shipping,Sale,-33.60,
0678,09/01/2025,09/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,76.00,
0678,08/30/2025,08/31/2025,HYONIX* INV 1029174,Office & Shipping,Sale,-12.00,
0678,08/23/2025,08/24/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,08/20/2025,08/21/2025,Regus Management Group BC,Professional Services,Sale,-99.00,
0678,08/18/2025,08/19/2025,Spectrum,Bills & Utilities,Sale,-70.00,
0678,08/15/2025,08/17/2025,LOCALRANK.SO,Office & Shipping,Sale,-174.30,
0678,08/07/2025,08/08/2025,GOOGLE *Google One,Professional Services,Sale,-19.99,
0678,08/07/2025,08/07/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-43.67,
0678,08/06/2025,08/07/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.00,
0678,08/05/2025,08/06/2025,IDEOGRAM AI,Office & Shipping,Sale,-8.00,
0678,08/05/2025,08/06/2025,CANVA* I04599-50717957,Professional Services,Sale,-15.00,
0678,08/01/2025,08/03/2025,GOOGLE *GSUITE_kuriosb,Office & Shipping,Sale,-32.35,
0678,08/01/2025,08/03/2025,GOOGLE *ADS6446937921,Professional Services,Sale,-32.67,
0678,08/01/2025,08/03/2025,GOOGLE *ADS8919439674,Professional Services,Sale,-187.16,
0678,08/01/2025,08/03/2025,GOOGLE *ADS5248498033,Professional Services,Sale,-121.03,
0678,08/01/2025,08/03/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,07/29/2025,07/30/2025,IDEOGRAM AI,Office & Shipping,Sale,-9.14,
0678,07/30/2025,07/30/2025,HYONIX* INVOICE 100125,Office & Shipping,Sale,-12.00,
0678,07/23/2025,07/24/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,07/20/2025,07/21/2025,Regus Management Group BC,Professional Services,Sale,-99.00,
0678,07/18/2025,07/20/2025,Spectrum,Bills & Utilities,Sale,-70.00,
0678,07/17/2025,07/18/2025,CRAIGSLIST.ORG,Merchandise & Inventory,Sale,-3.00,
0678,07/17/2025,07/18/2025,CRAIGSLIST.ORG,Merchandise & Inventory,Sale,-3.00,
0678,07/15/2025,07/16/2025,LOCALRANK.SO,Office & Shipping,Sale,-174.30,
0678,07/16/2025,07/16/2025,HYONIX* INVOICE 983770,Office & Shipping,Sale,-6.50,
0678,07/15/2025,07/15/2025,Payment Thank You-Mobile,,Payment,1000.00,
0678,07/10/2025,07/10/2025,Payment Thank You-Mobile,,Payment,500.00,
0678,07/07/2025,07/08/2025,FACEBK *KSVH4TYXC2,Professional Services,Sale,-34.28,
0678,07/07/2025,07/08/2025,GOOGLE *Google One,Office & Shipping,Sale,-19.99,
0678,07/06/2025,07/07/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.00,
0678,07/05/2025,07/06/2025,CANVA* I04568-49737621,Professional Services,Sale,-15.00,
0678,07/05/2025,07/06/2025,IDEOGRAM AI,Office & Shipping,Sale,-20.00,
0678,07/01/2025,07/02/2025,GOOGLE *GSUITE_kuriosb,Office & Shipping,Sale,-28.80,
0678,07/01/2025,07/02/2025,GOOGLE *ADS8919439674,Professional Services,Sale,-179.39,
0678,07/01/2025,07/02/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,07/01/2025,07/01/2025,Payment Thank You-Mobile,,Payment,1000.00,
0678,06/30/2025,07/01/2025,AARON ABKE,Merchandise & Inventory,Sale,-99.00,
0678,06/23/2025,06/24/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,06/20/2025,06/22/2025,Regus Management Group BC,Professional Services,Sale,-99.00,
0678,06/18/2025,06/19/2025,Spectrum,Bills & Utilities,Sale,-60.00,
0678,06/18/2025,06/19/2025,NAME-CHEAP.COM* 92TWTO,Professional Services,Sale,-11.46,
0678,06/18/2025,06/19/2025,NAME-CHEAP.COM* 8EQWUX,Professional Services,Sale,-11.46,
0678,06/17/2025,06/18/2025,FACEBK *QRZERUUXC2,Professional Services,Sale,-53.00,
0678,06/15/2025,06/16/2025,LOCALRANK.SO,Office & Shipping,Sale,-174.30,
0678,06/11/2025,06/11/2025,NAME-CHEAP.COM* 9J05GQ,Professional Services,Sale,-11.46,
0678,06/10/2025,06/11/2025,NAME-CHEAP.COM* EWKE4G,Professional Services,Sale,-17.16,
0678,06/07/2025,06/08/2025,FACEBK *2JS4QSLXC2,Professional Services,Sale,-19.68,
0678,06/07/2025,06/08/2025,FACEBK *8EC45RCXC2,Professional Services,Sale,-4.80,
0678,06/06/2025,06/08/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.00,
0678,06/07/2025,06/08/2025,GOOGLE *Google One,Office & Shipping,Return,0.64,
