Question,Answer
"What do you offer?","Two options: exclusive MVA leads delivered to your team, or live transfers where we qualify and warm transfer claimants directly to your intake. Depends on what fits your setup."
"What's the difference between leads and transfers?","Leads = we deliver the contact, you call them. Live transfers = we do all follow-up and warm transfer qualified claimants to you while on the line. Higher touch, higher sign rate."
"How much does it cost?","Depends on whether you want leads or transfers, and your state/volume. The team can walk you through exact numbers on a call — want me to find a time?"
"What's the pricing?","Pricing varies by state and volume. Team can break down the exact math for your market on a quick call."
"Are the leads exclusive?","100% exclusive. Every lead only goes to one firm. Never shared. That's a big reason our partners see strong sign rates."
"Do you sell leads to multiple firms?","Never. 100% exclusive — each lead goes to one firm only."
"What states do you work in?","We're in 30+ states including Texas, California, Florida, Arizona, Louisiana, Pennsylvania, Georgia, New Mexico, North Carolina, New York, and more."
"Do you cover my state?","We're in 30+ states. What state are you in? I can check if we have capacity."
"What's the minimum?","We have a minimum to make sure we can deliver meaningful results. Team can explain the options on a call."
"Is there a minimum commitment?","We have minimums to ensure meaningful results, but no long-term contracts. The team can walk you through options."
"How do I know the leads are real?","Every lead is OTP-verified (they confirm via text code) and goes through TrustedForm/Jornaya compliance. Real people, real contact info."
"Are the leads verified?","Yes — OTP-verified contact info plus TrustedForm and Jornaya compliance on every lead."
"What's the conversion rate?","For live transfers: 40-60% sign rates because they're pre-qualified and warm transferred. For leads: depends on your intake, but quality is high."
"What's the sign rate?","Our live transfers see 40-60% sign rates. They're pre-qualified and warm transferred while still on the line."
"How fast do you contact leads?","For live transfers: within 5 minutes, then 18 touches over 9 days. For leads: delivered in real-time, your team follows up."
"What's the follow-up process?","For transfers: 5 minute speed-to-lead, 18 touches over 9 days, calls and texts. We handle all of it. You just answer warm transfers."
"Do you sign the cases?","We can, yeah — if your team is stretched thin or you just want signed retainers delivered, we have that option. But most firms prefer transfers or leads. Team can discuss what fits on a call."
"Can you handle the intake?","We can if needed — some firms prefer us to handle everything and just deliver signed cases. But most do their own intake with our leads or transfers. Depends on your setup."
"What CRMs do you integrate with?","Lead Docket, Filevine, Litify, Salesforce, Clio — or we can work with your existing system."
"Do you work with my CRM?","We integrate with most major legal CRMs — Lead Docket, Filevine, Litify, Salesforce, Clio. Or we can adapt to your system."
"Which should I choose - leads or transfers?","If you have a strong intake team and want control, leads might be better. If you want done-for-you and higher sign rates, transfers. Team can help you figure it out on a call."
"I'm not sure which option is right for me","No problem — that's what the call is for. Team can learn about your setup and recommend the right fit."
"I've been burned by lead vendors before","Totally understand — that's why we do pilot batches. Prove ROI first, then scale. No long contracts, cancel anytime."
