State,# of Clients,COD Lead Cost,Our Cost Per Lead (-10%),Our Sell Price Per Lead (+40% w/ guarantee),Our Cost Per Live Transfer (Lead×5+$100),Our Sell Price Per Transfer (+40% w/ guarantee),Our Cost Per Case (Transfer×2+$350),Our Sell Price Per Case (+40% w/ guarantee),Client Stories & Results
California CA,4+,$250-$350,$225-$315,$315-$441,$1225-$1675,$1715-$2345,$2800-$3700,$3920-$5180,"Client since our 1st year in business. Over $4 million spent to date. $4456-5k average case spends $250k/month. $65-1000 leads/month. 40+ cases signed. 6-10% conversion rate. $3000-4000 average case cost for the state. $1560 per case average. ALL STATES NOT LISTED: NO NOTABLE CLIENTS BUT NATIONAL CLIENT DATA BELOW"
Texas TX,3,$250-$300,$225-$270,$315-$378,$1225-$1450,$1715-$2030,$2800-$3250,$3920-$4550,"Client 1-3. $2,000 average case cost in state. Client for over 4 years. ~$2k spend. Average acquisition cost around $1700-$2000. 20+ cases signed. ~15% conversion. Wine responsible for over 600 cases signed through a case signing company relationship."
Louisiana LA,2,$250-$300,$225-$270,$315-$378,$1225-$1450,$1715-$2030,$2800-$3250,$3920-$4550,"Client 4-5. $2k average case costs. Client since March 2021. Less than $2k cost per case. Signs 40+ cases per month with us. 30+ cases total."
Florida FL,1,$250-$300,$225-$270,$315-$378,$1225-$1450,$1715-$2030,$2800-$3250,$3920-$4550,"Client 6. $2k Average CPC. $1200 average case cost. Client since early 2020. 60+ cases signed. 5% conversion rate."
AZ/UT/TX,1,$250-$300,$225-$270,$315-$378,$1225-$1450,$1715-$2030,$2800-$3250,$3920-$4550,"Client 6 (multi-state). Data overlaps with FL client."
Washington State WA/OR/UT/ID,2,$250-$300,$225-$270,$315-$378,$1225-$1450,$1715-$2030,$2800-$3250,$3920-$4550,"Client 7-8. $2500 average CPC. Client since 2020. Over $1.5 million spend total. 10-15% conversion rate."
New Mexico NM,2,$200,$180,$252,$1000,$1400,$2350,$3290,"Client 9-10. $2k average case cost. $200 per lead. About 10% conversion rate. Client since June 2020. Average cost per case about $3k. A lot of trucking cases - more than average states. UM trucking cases are 4x more likely to result in a fatality - VERY HIGH VALUE CASES. ~15% conversion."
Georgia GA/VA/OH/SC,4,$200-$350,$180-$315,$252-$441,$1000-$1850,$1400-$2590,$2350-$4050,$3290-$5670,"Client 11-14. $2k per case or less. Client 12 since March 2021 (Maria's birthday) - favorite client. $1500 or less average CPC. Sometimes Wait over 100 cases signed per. 15-25% conversion. Client 13 since August 2021. Over a million spend. Current CPC $1700. $1000 per case in Georgia and SC. 15% conversion."
Pennsylvania PA,2,$200,$180,$252,$1000,$1400,$2350,$3290,"Client 15-16. $1500 possible with aggressive intake. $2k or less average. 15% conversion rate. Client since 2023. Average CPC for 2023: $2014. 15-20% conversion rate. Statewide but local to Philadelphia. Go Birds! Currently exit banned in Philadelphia area. STATE TIP: Pennsylvania is home state - encourage giving these attorneys love as lead gen is not such a competitive thing there. They're no bullshit and sometimes outright aggressive - speak directly with unshakeable confidence."
North Carolina NC/GA/SC,3,$200,$180,$252,$1000,$1400,$2350,$3290,"Client 17-19. $200 per lead. 15% conversion rate. Client since May 2020. Less than $1500 per case."
New York NY,3,$250,$225,$315,$1225,$1715,$2800,$3920,"Client 20-22. $250 per lead. Less than $2k per case. Not a big firm but quickly expanding - even partnering with other firms to pay for campaigns because they're signing cases for less than $2k. Well known everywhere. $1500-2k per case. 15% conversion."
NATIONAL - Client 1,1,$200,$180,$252,$1000,$1400,$2350,$3290,"Dark firm with office in their state. Average cost per case of $1500. $2k average CPC."
NATIONAL - Client 2 (NY/GA/SC/TN/TX),1,$200-$300,$180-$270,$252-$378,$1000-$1600,$1400-$2240,$2350-$3550,$3290-$4970,"Nationwide - all 50 states. Multi 7-figure annual spend."
