URL,Success,Business,Grade,AI Score,Local Score,Total,Time(s),Error
https://forthepeople.com,True,Morgan & Morgan Lawyers,D,31,40,71,0.55,
https://johnfoy.com,True,Atlanta Personal Injury Lawyer,C+,52,59,111,0.9,
https://weitzlux.com,True,"Top US Injury Attorneys: Asbestos, Drugs & Devices, Environmental",D,33,45,78,1.09,
https://herrmanandherrman.com,True,Corpus Christi Personal Injury Lawyers,C+,46,58,104,0.9,
https://1800lawfirm.com,True,"Trusted Law Firm for Family Law, Injury Claims & Legal Help",F,22,30,52,2.12,
https://joyelawfirm.com,True,Joye Law Firm Injury Lawyers,C,43,51,94,1.28,
https://injurytriallawyers.com,True,,F,12,13,25,0.1,
https://legalfinders.com,True,Connect To Top,D,26,40,66,1.02,
https://freeadvice.com,True,Free Advice,F,32,27,59,1.74,
https://nolo.com,True,,F,0,0,0,0.18,
https://justia.com,True,,F,0,0,0,0.19,
https://findlaw.com,True,,F,0,0,0,0.2,
https://avvo.com,True,,F,0,0,0,0.09,
https://lawinfo.com,True,,F,0,0,0,0.12,
https://lawyers.com,True,,F,0,0,0,0.13,
https://martindale.com,True,,F,0,0,0,0.06,
https://millerandzois.com,True,Maryland Personal Injury Lawyer,C,43,55,98,0.79,
https://edgarlitigation.com,True,,F,0,0,0,0.02,
https://injuryclaimcoach.com,True,Free Legal Advice for Personal Injury Claims​,D,36,37,73,2.82,
https://accidentclaimlawyers.com,True,accidentclaimlawyers.com,F,9,19,28,1.13,
https://tlsslaw.com,True,Traub Lieberman,F,22,32,54,10.11,
https://bfrlaw.com,True,,F,0,0,0,15.03,
https://cellino.com,True,,F,0,0,0,15.19,
https://rosenfeldinjurylawyers.com,True,,F,0,0,0,15.03,
https://personalinjurylawyers.com,True,,F,0,0,0,10.01,
